emp_no;birth_date;first_name;last_name;gender;hire_date;;;;;;;;;;;;;;;;;;;
10001;02/09/1953;Georgi;Facello;M;26/06/1986;;;;;;;;;;;;;;;;;;;
10002;02/06/1964;Bezalel;Simmel;F;21/11/1985;;;;;;;;;;;;;;;;;;;
10003;03/12/1959;Parto;Bamford;M;28/08/1986;;;Genre;Nombre de emp_no;;;;;;;;;;;;;;;
10004;01/05/1954;Chirstian;Koblick;M;01/12/1986;;;F;2038;;;;;;;;;;;;;;;
10005;21/01/1955;Kyoichi;Maliniak;M;12/09/1989;;;M;2962;;;;;;;;;;;;;;;
10006;20/04/1953;Anneke;Preusig;F;02/06/1989;;;Total général;5000;;;;;;;;;;;;;;;
10007;23/05/1957;Tzvetan;Zielinski;F;10/02/1989;;;;;;;;;;;;;;;;;;;
10008;19/02/1958;Saniya;Kalloufi;M;15/09/1994;;;;;;;;;;;;;;;;;;;
10009;19/04/1952;Sumant;Peac;F;18/02/1985;;;Nombre de emp_no;Années;;;;;;;;;;;;;;;
10010;01/06/1963;Duangkaew;Piveteau;F;24/08/1989;;;Genre;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;Total général;
10011;07/11/1953;Mary;Sluis;F;22/01/1990;;;F;148;155;166;179;175;160;146;160;144;157;143;143;154;8;2038;
10012;04/10/1960;Patricio;Bridgland;M;18/12/1992;;;M;206;218;230;220;210;245;238;244;203;231;218;241;241;17;2962;
10013;07/06/1963;Eberhardt;Terkki;M;20/10/1985;;;Total général;354;373;396;399;385;405;384;404;347;388;361;384;395;25;5000;
10014;12/02/1956;Berni;Genin;M;11/03/1987;;;;;;;;;;;;;;;;;;;
10015;19/08/1959;Guoxiang;Nooteboom;M;02/07/1987;;;Nombre de emp_no;Anneés;;;;;;;;;;;;;;;
10016;02/05/1961;Kazuhito;Cappelletti;M;27/01/1995;;;Genre;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;Total général
10017;06/07/1958;Cristinel;Bouloucos;F;03/08/1993;;;F;210;228;222;225;203;186;147;138;133;119;85;63;32;29;18;2038
10018;19/06/1954;Kazuhide;Peha;F;03/04/1987;;;M;368;340;326;309;266;259;235;208;160;167;113;101;62;33;15;2962
10019;23/01/1953;Lillian;Haddadi;M;30/04/1999;;;Total général;578;568;548;534;469;445;382;346;293;286;198;164;94;62;33;5000
10020;24/12/1952;Mayuko;Warwick;M;26/01/1991;;;;;;;;;;;;;;;;;;;
10021;20/02/1960;Ramzi;Erde;M;10/02/1988;;;;;;;;;;;;;;;;;;;
10022;08/07/1952;Shahaf;Famili;M;22/08/1995;;;;;;;;;;;;;;;;;;;
10023;29/09/1953;Bojan;Montemayor;F;17/12/1989;;;;;;;;;;;;;;;;;;;
10024;05/09/1958;Suzette;Pettey;F;19/05/1997;;;;;;;;;;;;;;;;;;;
10025;31/10/1958;Prasadram;Heyers;M;17/08/1987;;;;;;;;;;;;;;;;;;;
